# Title: Northern Hemisphere Land August Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1850,0.18
1851,-0.06
1852,-0.05
1853,-0.04
1854,0.02
1855,-0.28
1856,-0.72
1857,-0.36
1858,-0.33
1859,-0.07
1860,-0.36
1861,-0.45
1862,-0.4
1863,-0.53
1864,-0.66
1865,-0.16
1866,-0.55
1867,-0.25
1868,-0.16
1869,-0.08
1870,-0.23
1871,-0.15
1872,-0.13
1873,-0.3
1874,-0.46
1875,-0.47
1876,-0.38
1877,-0.04
1878,-0.06
1879,-0.6
1880,-0.24
1881,-0.37
1882,-0.41
1883,-0.68
1884,-1.03
1885,-0.38
1886,-0.38
1887,-0.59
1888,-0.3
1889,-0.03
1890,-0.44
1891,-0.29
1892,-0.48
1893,-0.34
1894,-0.09
1895,-0.34
1896,-0.19
1897,0.06
1898,0.05
1899,-0.15
1900,-0.14
1901,-0.11
1902,-0.12
1903,-0.42
1904,-0.3
1905,-0.28
1906,-0.12
1907,-0.55
1908,-0.34
1909,-0.2
1910,-0.23
1911,-0.48
1912,-0.89
1913,-0.3
1914,-0.3
1915,-0.24
1916,-0.46
1917,-0.4
1918,-0.51
1919,-0.04
1920,-0.28
1921,-0.31
1922,-0.29
1923,-0.21
1924,-0.08
1925,-0.19
1926,-0.06
1927,-0.18
1928,-0.2
1929,-0.16
1930,0.16
1931,0.27
1932,0.08
1933,-0.05
1934,0
1935,0.17
1936,0.05
1937,0.17
1938,0.27
1939,0.18
1940,-0.02
1941,0.21
1942,-0.21
1943,0.06
1944,-0.02
1945,0.36
1946,-0.09
1947,-0.11
1948,0.06
1949,-0.02
1950,-0.36
1951,0.23
1952,0.02
1953,0.25
1954,0.16
1955,0.16
1956,-0.38
1957,0.09
1958,0.08
1959,0.05
1960,0.08
1961,-0.01
1962,-0.06
1963,0.05
1964,-0.27
1965,-0.35
1966,0.25
1967,-0.11
1968,-0.21
1969,-0.04
1970,-0.03
1971,-0.05
1972,-0.01
1973,0.23
1974,-0.03
1975,-0.03
1976,-0.17
1977,0.04
1978,-0.29
1979,0.02
1980,0.12
1981,0.37
1982,-0.07
1983,0.51
1984,0.2
1985,0.08
1986,0.08
1987,0.32
1988,0.37
1989,0.33
1990,0.48
1991,0.48
1992,-0.13
1993,0.11
1994,0.42
1995,0.85
1996,0.1
1997,0.48
1998,1.13
1999,0.55
2000,0.63
2001,0.94
2002,0.8
2003,1.04
2004,0.47
2005,0.75
2006,0.9
2007,1.07
2008,0.77
2009,0.8
2010,1.19
2011,1.08
2012,1.07
2013,0.82
2014,1.1
2015,1.12
2016,1.4
2017,1.25
2018,1.21
2019,1.28
2020,1.33
2021,1.42
2022,1.53
2023,1.95
2024,1.71
2025,1.54
